Batch of Curriculum,Department,Program,Year Level,Semester,Course Code,Course Title,Lec,Lab,GenEd,Pre/Co-Requisite
2023,CAS,BSPSY,1st Year,First Semester,MAT101,Mathematics in the Modern World,3,0,TRUE,NONE
2023,CAS,BSPSY,1st Year,First Semester,READ100,Science and Development of Reading,3,0,TRUE,NONE
2023,CAS,BSPSY,1st Year,First Semester,PSY100,Understanding the Self,3,0,TRUE,NONE
2023,CAS,BSPSY,1st Year,First Semester,PHD101,PnCians Holistic Development,1,0,TRUE,NONE
2023,CAS,BSPSY,1st Year,First Semester,NSTP1,National Service Training Program 1,3,0,TRUE,NONE
2023,CAS,BSPSY,1st Year,First Semester,PED101,Physical Acitivies Toward Health and Fitness 1,2,0,TRUE,NONE
2023,CAS,BSPSY,1st Year,First Semester,PSM101,Introduction to Psychology,3,0,FALSE,NONE
2023,CAS,BSPSY,1st Year,Second Semester,COM101,Purposive Communication,3,0,TRUE,NONE
2023,CAS,BSPSY,1st Year,Second Semester,GAD101,Gender and Development,3,0,TRUE,NONE
2023,CAS,BSPSY,1st Year,Second Semester,NAT101,Biological Science,3,0,FALSE,NONE
2023,CAS,BSPSY,1st Year,Second Semester,PSM102,Psychological Statistics,3,2,FALSE,PSM101
2023,CAS,BSPSY,1st Year,Second Semester,PSM103,Development Psychology,3,0,FALSE,PSM101
2023,CAS,BSPSY,1st Year,Second Semester,PHD102,PnCians Holistic Development,1,0,TRUE,PHD101
2023,CAS,BSPSY,1st Year,Second Semester,NSTP2,National Service Training Program 2,3,0,TRUE,NSTP1
2023,CAS,BSPSY,1st Year,Second Semester,PED102,Physical Acitivies Toward Health and Fitness 2,2,0,TRUE,PED101
2023,CAS,BSPSY,2nd Year,First Semester,ETH101,Ethics,3,0,TRUE,NONE
2023,CAS,BSPSY,2nd Year,First Semester,STS101,"Science, Technology and Society",3,0,TRUE,NONE
2023,CAS,BSPSY,2nd Year,First Semester,SOC101,The Contemporary World,3,0,TRUE,NONE
2023,CAS,BSPSY,2nd Year,First Semester,CHM101,Inorganic of Chemistry,3,2,FALSE,NONE
2023,CAS,BSPSY,2nd Year,First Semester,PSM104,Theories of Personality,3,0,FALSE,"PSM102, PSM103"
2023,CAS,BSPSY,2nd Year,First Semester,PED103,Physical Acitivies Toward Health and Fitness 3,2,0,TRUE,PED102
2023,CAS,BSPSY,2nd Year,First Semester,PSM105,Cognitive Psychology,3,0,FALSE,"PSM102, PSM103"
2023,CAS,BSPSY,2nd Year,First Semester,PSE101,Professional Ethics in Psychology,3,0,FALSE,"PSM102, PSM103"
