Batch of Curriculum,Department,Program,Year Level,Semester,Course Code,Course Title,Lec,Lab,GenEd,Pre/Co-Requisite
2023,CHAS,BSN,1st Year,First Semester,MAT101,Mathematics in the Modern World,3,0,TRUE,NONE
2023,CHAS,BSN,1st Year,First Semester,PSY100,Understanding the Self,3,0,TRUE,NONE
2023,CHAS,BSN,1st Year,First Semester,READ100,Science and Development of Reading,3,0,TRUE,NONE
2023,CHAS,BSN,1st Year,First Semester,ITE101,Living in the IT Era,3,0,TRUE,NONE
2023,CHAS,BSN,1st Year,First Semester,PHD101,PnCians Holistic Development,1,0,TRUE,NONE
2023,CHAS,BSN,1st Year,First Semester,NSTP1,National Service Training Program 1,3,0,TRUE,NONE
2023,CHAS,BSN,1st Year,First Semester,PED101,Physical Activities Towards Health and Fitness 1,2,0,TRUE,NONE
2023,CHAS,BSN,1st Year,First Semester,ANA101,Anatomy and Physiology,3,2,FALSE,NONE
2023,CHAS,BSN,1st Year,First Semester,NCM100,Theoretical Foundation of Nursing,3,0,FALSE,NONE
2023,CHAS,BSN,1st Year,Second Semester,COM101,Purposive Communication,3,0,TRUE,NONE
2023,CHAS,BSN,1st Year,Second Semester,ETH101,Ethics,3,0,TRUE,NONE
2023,CHAS,BSN,1st Year,Second Semester,PHD102,PnCians Holistic Development,1,0,TRUE,PHD101
2023,CHAS,BSN,1st Year,Second Semester,NSTP2,National Service Training Program 2,3,0,TRUE,NSTP102
2023,CHAS,BSN,1st Year,Second Semester,PED102,Physical Activities Towards Health and Fitness 2,2,0,TRUE,PED102
2023,CHAS,BSN,1st Year,Second Semester,CHM104A,Biochemistry,3,2,FALSE,NONE
2023,CHAS,BSN,1st Year,Second Semester,NCM101,Health Assessment,3,2,FALSE,"NCM100, ANA101"
2023,CHAS,BSN,1st Year,Second Semester,NCM102,Health Education,3,0,FALSE,"NCM100, ANA101"
2023,CHAS,BSN,1st Year,Second Semester,NCM103,Fundamentals of Nursing Practice,3,2,FALSE,"NCM100, ANA101"
2023,CHAS,BSN,2nd Year,First Semester,HMN101,Art Appreciation,3,0,TRUE,NONE
2023,CHAS,BSN,2nd Year,First Semester,GAD101,Gender and Development,3,0,TRUE,NONE
2023,CHAS,BSN,2nd Year,First Semester,PED103,Physical Activities Towards Health and Fitness 3,2,0,TRUE,PED102
2023,CHAS,BSN,2nd Year,First Semester,NCM106,Pharmacology,3,0,FALSE,"NCM101, RLENCM101, NCM102, NCM103, RLENCM103"
2023,CHAS,BSN,2nd Year,First Semester,NCM108,Health Care Ethics (Bioethics),3,0,FALSE,"ETH101, NCM103, RLENCM103"
2023,CHAS,BSN,2nd Year,First Semester,NCM104,Community Health Nursing 1 Individual and Family as Clients,2,2,FALSE,"NCM101, RLENCM101, NCM102, NCM103, RLENCM103"
2023,CHAS,BSN,2nd Year,First Semester,NCM 105,Nutrition and Diet Therapy,2,1,FALSE,"NCM101, RLENCM101, NCM102, NCM103, RLENCM103, CHM104A"
2023,CHAS,BSN,2nd Year,First Semester,NCM107,"Care of Mother, Child, Adolescent, Well Clients",4,5,FALSE,"NCM101, RLENCM101, NCM102, NCM103, RLENCM103"
2023,CHAS,BSN,2nd  Year,Second Semester,STS101,"Science, Technology and Society",3,0,TRUE,NONE
2023,CHAS,BSN,2nd  Year,Second Semester,HIS101,Readings in Philippine History,3,0,TRUE,NONE
2023,CHAS,BSN,2nd  Year,Second Semester,PED104,Physical Activities Towards Health and Fitness 4,2,0,TRUE,PED103
2023,CHAS,BSN,2nd  Year,Second Semester,MIC101,Microbiology and Parasitology,3,1,FALSE,ANA101
2023,CHAS,BSN,2nd  Year,Second Semester,NCM110,Nursing Informatics,2,1,FALSE,NONE
2023,CHAS,BSN,2nd  Year,Second Semester,NCM109,Care of Mother and Child at Risk or with Problems,6,6,FALSE,"NCM107, RLENCM107"
2023,CHAS,BSN,3rd Year,First Semester,ENT101,The Entrepreneurial Mind,3,0,TRUE,NOE
2023,CHAS,BSN,3rd Year,First Semester,NCM111,Nursing Research 1,2,1,FALSE,MAT101
2023,CHAS,BSN,3rd Year,First Semester,NCM112,Care of Client with Problem in Oxygenation,8,6,FALSE,"NCM109, RLENCM109"
2023,CHAS,BSN,3rd Year,First Semester,NCM113,Community Health Nursing 2,2,1,FALSE,"NCM104, RLENCM109"
2023,CHAS,BSN,3rd Year,First Semester,NCM114,Care of the Older Adult,2,1,FALSE,"NCM103, RLENCM103"
2023,CHAS,BSN,3rd Year,Second Semester,SOC101,The Contemporary World,3,0,TRUE,NONE
2023,CHAS,BSN,3rd Year,Second Semester,RIZ101,Life and Works of Rizal,3,0,TRUE,NONE
2023,CHAS,BSN,3rd Year,Second Semester,NCM115,Nursing Research 2,0,2,FALSE,NCM111
2023,CHAS,BSN,3rd Year,Second Semester,NCM 116,Care of Client with Problems in Nutrition,5,4,FALSE,"NCM112, RLENCM112"
2023,CHAS,BSN,3rd Year,Second Semester,NCM 117,"Care of Clients with Maladaptive Patterns of Behavior, Acute & Chronic",4,4,FALSE," NCM112, RLEBCN112, NCM108"
2023,CHAS,BSN,4th Year,First Semester,CA1,Competency Appraisal 1,3,0,FALSE,ALL LEVEL III PROF COURSES
2023,CHAS,BSN,4th Year,First Semester,NCM118,Nursing Care of Clients with Life Threatening Conditions,4,5,FALSE,"NCM116, RLENCM116"
2023,CHAS,BSN,4th Year,First Semester,NCM119,Nursing Leadership & Management,4,3,FALSE,"NCM117, RLENCM117, NCM118, RLENCM118"
2023,CHAS,BSN,4th Year,First Semester,NCM120,Decent Work Employment & Transcultural Nursing,3,0,FALSE,"NCM116, RLENCM116, NCM117, RLENCM117"
2023,CHAS,BSN,4th Year,Second Semester,CA2,Competency Appraisal 2,3,0,FALSE,CA1
2023,CHAS,BSN,4th Year,Second Semester,NCM121,Disaster Nursing,2,1,FALSE,"NCM103, RLENCM103"
2023,CHAS,BSN,4th Year,Second Semester,NCM 122,Intensive Nursing Practicum (Hospital & Community Settings),0,8,FALSE,"NCM119, RLENCM119"
