Batch of Curriculum,Department,Program,Year Level,Semester,Course Code,Course Title,Lec,Lab,GenEd,Pre/Co-Requisite
2023,COED,BSEDE,1st Year,First Semester,MAT101,Mathematics in the Modern World,3,0,TRUE,NONE
2023,COED,BSEDE,1st Year,First Semester,PSY100,Understanding the Self,3,0,TRUE,NONE
2023,COED,BSEDE,1st Year,First Semester,READ100,Science and Development of Reading,3,0,TRUE,NONE
2023,COED,BSEDE,1st Year,First Semester,ITE101,Living in the IT Era,3,0,TRUE,NONE
2023,COED,BSEDE,1st Year,First Semester,SEM101,Introduction to Linguistics,3,0,FALSE,NONE
2023,COED,BSEDE,1st Year,First Semester,SEM102,"Language, Culture and Society",3,0,FALSE,NONE
2023,COED,BSEDE,1st Year,First Semester,PHD101,PnCians Holistic Development,1,0,TRUE,NONE
2023,COED,BSEDE,1st Year,First Semester,PED101,PATHFit 1: movement Competency Training MCT,2,0,TRUE,NONE
2023,COED,BSEDE,1st Year,First Semester,NSTP1,National Service Training Program 1,3,0,TRUE,NONE
2023,COED,BSEDE,1st Year,Second Semester,GAD101,Gender and Development,3,0,TRUE,NONE
2023,COED,BSEDE,1st Year,Second Semester,HIS101,Readings in Philippine history,3,0,TRUE,NONE
2023,COED,BSEDE,1st Year,Second Semester,HMN101,Art Appreciation,3,0,TRUE,NONE
2023,COED,BSEDE,1st Year,Second Semester,COM101,Purposive Communication,3,0,TRUE,NONE
2023,COED,BSEDE,1st Year,Second Semester,CED101,"The Child and Adolescent learners and
 learning Principles",3,0,FALSE,NONE
2023,COED,BSEDE,1st Year,Second Semester,CED103,"The Teacher and the Community, School and
Organizational Leaders",3,0,FALSE,NONE
2023,COED,BSEDE,1st Year,Second Semester,SEM111,Language Learning Materials Development,3,0,FALSE,NONE
2023,COED,BSEDE,1st Year,Second Semester,PHD102,PnCians Holistic Development,1,0,TRUE,PHD101
2023,COED,BSEDE,1st Year,Second Semester,PED102,PATHFit 2: Exercise-Based Fitness,2,0,TRUE,PED102
2023,COED,BSEDE,1st Year,Second Semester,NSTP2,National Service Training Program 2,3,0,TRUE,NONE
2023,COED,BSEDE,2nd  Year,First Semester,STS101,"Science, Technology and Society",3,0,TRUE,NONE
2023,COED,BSEDE,2nd  Year,First Semester,SOC101,The Contemporary World,3,0,TRUE,NONE
2023,COED,BSEDE,2nd  Year,First Semester,RIZ101,Life and Works of Rizal,3,0,TRUE,NONE
2023,COED,BSEDE,2nd  Year,First Semester,ENT101,The Entepreneurial Mind,3,0,TRUE,NONE
2023,COED,BSEDE,2nd  Year,First Semester,ETH101,Ethics,3,0,TRUE,NONE
2023,COED,BSEDE,2nd  Year,First Semester,ENV101,Environmental Science,3,0,TRUE,NONE
2023,COED,BSEDE,2nd  Year,First Semester,CED105,Facilitating Learning-centered Teaching,3,0,FALSE,NONE
2023,COED,BSEDE,2nd  Year,First Semester,CED106,Assessment in Learning 1,3,0,FALSE,NONE
2023,COED,BSEDE,2nd  Year,First Semester,PED103,"PATHFit 3: Choice of Dance, Sports, Martial Arts, 
Group Exercise, Outdoor and Adventure Activities",2,0,TRUE,PED102
2023,COED,BSEDE,2nd  Year,Second Semester,CED107,Assessment in Learning 2,3,0,FALSE,NONE
2023,COED,BSEDE,2nd  Year,Second Semester,CED109,The Teacher and the Curriculum,3,0,FALSE,NONE
2023,COED,BSEDE,2nd  Year,Second Semester,SEM103,Structure of English,3,0,FALSE,SEM101
2023,COED,BSEDE,2nd  Year,Second Semester,SEM104,"Principles and Theories of Language
Acquisition and Learning",3,0,FALSE,NONE
2023,COED,BSEDE,2nd  Year,Second Semester,SEM105,Techinical Writing,3,0,FALSE,NONE
2023,COED,BSEDE,2nd  Year,Second Semester,SEM106,"Language Programs and Policies in
Multilingual Societies",3,0,FALSE,NONE
2023,COED,BSEDE,2nd  Year,Second Semester,SEM107,Children and Adolescent Literature,3,0,FALSE,NONE
2023,COED,BSEDE,2nd  Year,Second Semester,SEM116,Survey of Philippine Literature in English,3,0,FALSE,NONE
2023,COED,BSEDE,2nd  Year,Second Semester,PED104,Physical Acitivies Towards Health and Fitness 4,2,0,TRUE,PED103
2023,COED,BSEDE,3rd Year,First Semester,CED102,Technology for Teaching and Learning 1,3,0,FALSE,NONE
2023,COED,BSEDE,3rd Year,First Semester,CED104,Foundations of Special and Inclusive Education,3,0,FALSE,NONE
2023,COED,BSEDE,3rd Year,First Semester,CED108,The Teahing Profession,3,0,FALSE,NONE
2023,COED,BSEDE,3rd Year,First Semester,SEM109,Teaching and Assessment of Grammar,3,0,FALSE,SEM103
2023,COED,BSEDE,3rd Year,First Semester,SEM112,"Contemporary, Popular, and Emegent Literature",3,0,FALSE,NONE
2023,COED,BSEDE,3rd Year,First Semester,SEM113,Speech and Theather Arts,3,0,FALSE,NONE
2023,COED,BSEDE,3rd Year,First Semester,SEM114,Teaching and Assessment of Macro-skills,3,0,FALSE,SEM109
2023,COED,BSEDE,3rd Year,First Semester,SEM120,Campus Journalism,3,0,FALSE,NONE
2023,COED,BSEDE,3rd Year,First Semester,SEE111,English for Specific Purposes,3,0,FALSE,NONE
2023,COED,BSEDE,3rd Year,Second Semester,CED110,Building and Enhancing New Literacies,3,0,FALSE,NONE
