Batch of Curriculum,Department,Program,Year Level,Semester,Course Code,Course Title,Lec,Lab,GenEd,Pre/Co-Requisite
2023,COED,BSEDSS,1st Year,First Semester,MAT101,Mathematics in the Modern World,3,0,TRUE,NONE
2023,COED,BSEDSS,1st Year ,First Semester,PSY100,Understanding the Self,3,0,TRUE,NONE
2023,COED,BSEDSS,1st Year ,First Semester,READ100,Science and Development of Reading,3,0,TRUE,NONE
2023,COED,BSEDSS,1st Year ,First Semester,ITE101,Living in the IT Era,3,0,TRUE,NONE
2023,COED,BSEDSS,1st Year ,First Semester,SSM101,Foundations of Social Studies,3,0,FALSE,NONE
2023,COED,BSEDSS,1st Year ,First Semester,SSM102,Geography 1 (Human Geography),3,0,FALSE,NONE
2023,COED,BSEDSS,1st Year ,First Semester,PHD101,PnCians Holistic Development,1,0,TRUE,NONE
2023,COED,BSEDSS,1st Year ,First Semester,PED101,PATHFit 1: movement Compentency Training MCT,2,0,TRUE,NONE
2023,COED,BSEDSS,1st Year ,First Semester,NSTP1,National Service Training Program 1,3,0,TRUE,NONE
2023,COED,BSEDSS,1st Year ,Second Semester,GAD101,Gender and Development,3,0,TRUE,NONE
2023,COED,BSEDSS,1st Year ,Second Semester,HIS101,Readings in Philippines History,3,0,TRUE,NONE
2023,COED,BSEDSS,1st Year ,Second Semester,HMN101,Art Appreciation,3,0,TRUE,NONE
2023,COED,BSEDSS,1st Year ,Second Semester,COM101,Purposive Communication,3,0,TRUE,NONE
2023,COED,BSEDSS,1st Year ,Second Semester,CED101,"The Child and Adolescent Learners and
Learning Principles",3,0,FALSE,NONE
2023,COED,BSEDSS,1st Year ,Second Semester,CED102,Technology for Teaching and Learning 1,3,0,FALSE,NONE
2023,COED,BSEDSS,1st Year ,Second Semester,SSM103,Geography 2 (Physical Geography),3,0,FALSE,NONE
2023,COED,BSEDSS,1st Year ,Second Semester,PHD102,PnCians holistic Development,1,0,TRUE,PHD101
2023,COED,BSEDSS,1st Year ,Second Semester,PED102,PATHFit 2: Exercise-based Fitness Activities,2,0,TRUE,PED101
2023,COED,BSEDSS,1st Year ,Second Semester,NSTP2,National Service Training Program 2,3,0,TRUE,NSTP1
2023,COED,BSEDSS,2nd Year ,First Semester,STS101,"Science, Technology and Society",3,0,TRUE,NONE
2023,COED,BSEDSS,2nd Year ,First Semester,SOC101,The Contemporary World,3,0,TRUE,NONE
2023,COED,BSEDSS,2nd Year ,First Semester,RIZ101,Life and Works of Rizal,3,0,TRUE,NONE
2023,COED,BSEDSS,2nd Year ,First Semester,ENT101,Thhe Entrepreneurial Mind,3,0,TRUE,NONE
2023,COED,BSEDSS,2nd Year ,First Semester,ETH101,Ethics,3,0,TRUE,NONE
2023,COED,BSEDSS,2nd Year ,First Semester,ENV101,Environmental Science,3,0,TRUE,NONE
2023,COED,BSEDSS,2nd Year ,First Semester,CED103,"The Teacher and the Community, School and
Organizational Leaders",3,0,FALSE,NONE
2023,COED,BSEDSS,2nd Year ,First Semester,SSM106,Geography 3 (Urban geography),3,0,FALSE,NONE
2023,COED,BSEDSS,2nd Year ,First Semester,PED103,"PATHFit 3: Choice of Dance, Sports, Martial Arts, 
Group Exercise, Outdoor and Adventure Activities",2,0,TRUE,PED102
2023,COED,BSEDSS,2nd Year ,Second Semester,CED104,Foundation of Special and Inclusive Education,3,0,FALSE,NONE
2023,COED,BSEDSS,2nd Year ,Second Semester,CED105,Facilitating Learner-Centered Teaching,3,0,FALSE,NONE
2023,COED,BSEDSS,2nd Year ,Second Semester,CED106,Assessment in Learning 1,3,0,FALSE,NONE
2023,COED,BSEDSS,2nd Year ,Second Semester,SSM104,Micrieconomics,3,0,FALSE,NONE
2023,COED,BSEDSS,2nd Year ,Second Semester,SSM109,Socio-cultural Anthropology,3,0,FALSE,NONE
2023,COED,BSEDSS,2nd Year ,Second Semester,SSM111,Law Related Studies,3,0,FALSE,NONE
2023,COED,BSEDSS,2nd Year ,Second Semester,SSM112,Comparative Economic Planning,3,0,FALSE,NONE
2023,COED,BSEDSS,2nd Year ,Second Semester,SSM113,Comparative Government and Policies,3,0,FALSE,NONE
2023,COED,BSEDSS,2nd Year ,Second Semester,PED104,"PATHFit 4:Choice of Dance, Sports, Martial Arts,
Group Exercise, Outdoor and Adventure Activities",2,0,TRUE,PED103
