Batch of Curriculum,Department,Program,Year Level,Semester,Course Code,Course Title,Lec,Lab,GenEd,Pre/Co-Requisite
2023,CCS,BSCS,1st Year,First Semester,MAT101,Mathematics in the Modern World,3,0,TRUE,NONE
2023,CCS,BSCS,1st Year,First Semester,PSY101,Understanding the Self,3,0,TRUE,NONE
2023,CCS,BSCS,1st Year,First Semester,READ100,Science and Development of Reading,3,0,TRUE,NONE
2023,CCS,BSCS,1st Year,First Semester,CCS101,Introduction to Computing,2,0,FALSE,NONE
2023,CCS,BSCS,1st Year,First Semester,CCS102,Computer Programming 1,2,1,FALSE,NONE
2023,CCS,BSCS,1st Year,First Semester,PH101,PnCians Holistic Development,1,0,TRUE,NONE
2023,CCS,BSCS,1st Year,First Semester,NSTP1,National Service Training Program 1,3,0,TRUE,NONE
2023,CCS,BSCS,1st Year,First Semester,PED101,Physical Activities Toward Health and Fitness 1 ,2,0,TRUE,NONE
2023,CCS,BSCS,1st Year,First Semester,GAD101,Gender and Development ,3,0,TRUE,NONE
2023,CCS,BSCS,1st Year,Second Semester,HIS101,Readings in Philippine History,3,0,TRUE,NONE
2023,CCS,BSCS,1st Year,Second Semester,HMN101,Art Appreciation,3,0,TRUE,NONE
2023,CCS,BSCS,1st Year,Second Semester,CCS114,Web Technologies,2,1,FALSE,CCS101
2023,CCS,BSCS,1st Year,Second Semester,CCS103,Computer Programming  2,2,1,FALSE,CCS102
2023,CCS,BSCS,1st Year,Second Semester,CCS105,Human Computer Interaction 1,2,1,FALSE,CCS101
2023,CCS,BSCS,1st Year,Second Semester,PHD102,PnCians Holistic Development,1,0,TRUE,NONE
2023,CCS,BSCS,1st Year,Second Semester,NSTP1,National Service Training Program 2,3,0,TRUE,NSTP1
2023,CCS,BSCS,1st Year,Second Semester,PED102,Physical Activities Toward Health and Fitness 2 ,2,0,TRUE,PED101
2023,CCS,BSCS,1st Year,Second Semester,COM101,Purposive Communication,3,0,TRUE,NONE
2023,CCS,BSCS,2nd Year,First Semester,CCS104,Discerete Structures 1,2,1,FALSE,MATH101
2023,CCS,BSCS,2nd Year,First Semester,STS101,"Science, Technology and Society",3,0,TRUE,NONE
2023,CCS,BSCS,2nd Year,First Semester,SOC101,The Contemporary World,3,0,TRUE,NONE
2023,CCS,BSCS,2nd Year,First Semester,ENT101,The Entrepreneurial,3,0,TRUE,NONE
2023,CCS,BSCS,2nd Year,First Semester,ETH101,Ethics,3,0,TRUE,NONE
2023,CCS,BSCS,2nd Year,First Semester,CCS107,Data Structures and Algorithms,2,1,FALSE,CCS103
2023,CCS,BSCS,2nd Year,First Semester,PED103,Physical Activities Toward Health and Fitness 3 ,2,0,TRUE,PED102
2023,CCS,BSCS,2nd Year,First Semester,CSP101,Differential Calculus with Analytical Geometry,3,0,FALSE,MAT101
2023,CCS,BSCS,2nd Year,Second Semester,CSP102,Discrete Structures 2,3,0,FALSE,CCS104
2023,CCS,BSCS,2nd Year,Second Semester,CCS108,Object-Oriented Programming,2,1,FALSE,CCS103
2023,CCS,BSCS,2nd Year,Second Semester,CNT101,Number Theory,3,0,FALSE,MAT101
2023,CCS,BSCS,2nd Year,Second Semester,CCS110,Information Management 1,2,1,FALSE,CCS101
2023,CCS,BSCS,2nd Year,Second Semester,CSP104,Integral Calculus with Differential Equation,3,0,FALSE,CSP101
2023,CCS,BSCS,2nd Year,Second Semester,RIZ101,Life and Works of Rizal,3,0,TRUE,NONE
2023,CCS,BSCS,2nd Year,Second Semester,PED104,Physical Activities Toward Health and Fitness 4 ,2,0,TRUE,PED103
2023,CCS,BSCS,2nd Year,Second Semester,CSP107,Computer Organization and Assembly Language,2,1,FALSE,CCS107
2023,CCS,BSCS,2nd Year,Second Semester,CCS113,Information Assurance and Security,2,1,FALSE,2nd Year Standing
2023,CCS,BSCS,3rd Year,First Semester,CCS109,System Analysis and Design,3,0,FALSE,CCS110
2023,CCS,BSCS,3rd Year,First Semester,CCS112,"Application Development and Emerging
Technologies",2,1,FALSE,3rd Year Standing
2023,CCS,BSCS,3rd Year,First Semester,CSP108,Programming Languages,2,1,FALSE,CCS103
2023,CCS,BSCS,3rd Year,First Semester,CCS106,Social Issues and Professional Practice,3,0,FALSE,CCS101
2023,CCS,BSCS,3rd Year,First Semester,,CS ELECTIVE 1,2,1,FALSE,2nd Year Standing
2023,CCS,BSCS,3rd Year,First Semester,ENV101,Environmental Science,3,0,FALSE,NONE
2023,CCS,BSCS,3rd Year,First Semester,CSP105,Algorithms and Complexity,3,0,FALSE,CSP102
2023,CCS,BSCS,3rd Year,Second Semester,CSP109,Software Engineering 1,2,1,FALSE,CCS109
2023,CCS,BSCS,3rd Year,Second Semester,CSP111,Thesis 1,3,0,FALSE,3rd Year Standing
2023,CCS,BSCS,3rd Year,Second Semester,TEC101,Technopreneurship,3,0,FALSE,ENT101
2023,CCS,BSCS,3rd Year,Second Semester,CSP106,Automata Theory and Formal Languages,3,0,FALSE,CSP102
2023,CCS,BSCS,3rd Year,Second Semester,,CS Elective 2,2,1,FALSE,CS Elective 1
2023,CCS,BSCS,3rd Year,Second Semester,CSP112,Operating Systems,2,1,FALSE,CSP107
2023,CCS,BSCS,4th Year,First Semester,CSP110,Numerical Analysis,3,0,FALSE,CSP106
2023,CCS,BSCS,4th Year,First Semester,CSP113,Software Engineering 2,2,1,FALSE,CSP109
2023,CCS,BSCS,4th Year,First Semester,CSP114,Thesis 2,3,0,FALSE,CSP111
2023,CCS,BSCS,4th Year,First Semester,CCS111,Networking and Communication 1,3,0,FALSE,CSP112
2023,CCS,BSCS,4th Year,First Semester,CPS101,probability and Statistics,3,0,FALSE,MAT101
2023,CCS,BSCS,4th Year,First Semester,,CS Elective 3,2,1,FALSE,CS Elective 2
2023,CCS,BSCS,4th Year,Second Semester,CSP115,CS Practicum (200 hrs),3,0,FALSE,ONLY Graduating Students
2023,CCS,BSCS,ELECTIVES,Artificial Intelligence,CSEA1,Introduction to Artificail Intelligence,3,0,FALSE,2nd Year Standing
2023,CCS,BSCS,ELECTIVES,Artificial Intelligence,CSEA2,Intelligent Systems,2,1,FALSE,CSEA1
2023,CCS,BSCS,ELECTIVES,Artificial Intelligence,CSEA3,Neural Networking,2,1,FALSE,CSEA2
2023,CCS,BSCS,ELECTIVES,Data Science,CSED1,Advanced Statistics with R Language,3,0,FALSE,2nd Year Standing
2023,CCS,BSCS,ELECTIVES,Data Science,CSED2,Data Mining,2,1,FALSE,CSED1
2023,CCS,BSCS,ELECTIVES,Data Science,CSED3,Deep Learning,2,1,FALSE,CSED2
2023,CCS,BSCS,ELECTIVES,Game Development,CSEG1,Game Concepts and Production,3,0,FALSE,2nd Year Standing
2023,CCS,BSCS,ELECTIVES,Game Development,CSEG2,Game Programming 1,2,1,FALSE,CSEG1
2023,CCS,BSCS,ELECTIVES,Game Development,CSEG3,Game Programming 2,2,1,FALSE,CSEG2
