Batch of Curriculum,Department,Program,Year Level,Semester,Course Code,Course Title,Lec,Lab,GenEd,Pre/Co-Requisite
2023,COE,BSCPE,1st Year,First Semester,SDR1,Science Development Reading,3,0,TRUE,NONE
2023,COE,BSCPE,1st Year,First Semester,ITE101,Living in the IT Era,3,0,TRUE,NONE
2023,COE,BSCPE,1st Year,First Semester,PHD101,PnCians Holistic Development,1,0,TRUE,NONE
2023,COE,BSCPE,1st Year,First Semester,PSY100,Understanding the Self,3,0,TRUE,NONE
2023,COE,BSCPE,1st Year,First Semester,MAT101,Mathematics in the Modern World,3,0,TRUE,NONE
2023,COE,BSCPE,1st Year,First Semester,CPP101,Computer Engineering as a Discipline,1,0,FALSE,NONE
2023,COE,BSCPE,1st Year,First Semester,CPP102,Programming Logic and Design,0,2,FALSE,NONE
2023,COE,BSCPE,1st Year,First Semester,COE101,Calculus 1,3,0,FALSE,NONE
2023,COE,BSCPE,1st Year,First Semester,COE102,Chemistry for Engineers,3,1,FALSE,NONE
2023,COE,BSCPE,1st Year,First Semester,NSTP1,National Service Training Program 1,3,0,TRUE,NONE
2023,COE,BSCPE,1st Year,First Semester,PED101,Physical Activities Toward Health and Fitness 1,2,0,TRUE,NONE
2023,COE,BSCPE,1st Year,Second Semester,GAD101,Gender and Development,3,0,TRUE,NONE
2023,COE,BSCPE,1st Year,Second Semester,HIS101,Reading in Philippine History,3,0,TRUE,NONE
2023,COE,BSCPE,1st Year,Second Semester,PHD102,PnCians Holistic Development 2,1,0,TRUE,TTP101
2023,COE,BSCPE,1st Year,Second Semester,COM101,Purposive Communication,3,0,TRUE,NONE
2023,COE,BSCPE,1st Year,Second Semester,CPP103,Object Oriented Programming,0,2,FALSE,CPP102
2023,COE,BSCPE,1st Year,Second Semester,COE104,Calculus 2,3,0,FALSE,COE101
2023,COE,BSCPE,1st Year,Second Semester,COE105,Calculus-Based Physics,3,1,FALSE,COE101
2023,COE,BSCPE,1st Year,Second Semester,HMN101,Art Appreciate,3,0,FALSE,NONE
2023,COE,BSCPE,1st Year,Second Semester,NSTP2,National Service Training Program 2,3,0,TRUE,NSTP1
2023,COE,BSCPE,1st Year,Second Semester,PED102,Physical Activities Toward Health and Fitness 2,2,0,TRUE,PED101
2023,COE,BSCPE,1st Year,SUMMER,CPP104,Data Structures and Algorithms,0,2,FALSE,CPP103
2023,COE,BSCPE,1st Year,SUMMER,COE107,Engineering Data Analysis,3,0,FALSE,COE101
2023,COE,BSCPE,2nd Year,First Semester,ETH101,Ethics,3,0,TRUE,NONE
2023,COE,BSCPE,2nd Year,First Semester,SOC101,The Contemporary World,3,0,TRUE,NONE
2023,COE,BSCPE,2nd Year,First Semester,STS101,"Science, Technology and Society",3,0,TRUE,NONE
2023,COE,BSCPE,2nd Year,First Semester,CPP106,Software Design,3,1,FALSE,CPP104
2023,COE,BSCPE,2nd Year,First Semester,CPA101,Fundamentals of Electrical Circuits,3,1,FALSE,COE105
2023,COE,BSCPE,2nd Year,First Semester,COE108,Differential Equations,3,0,FALSE,COE104
2023,COE,BSCPE,2nd Year,First Semester,ENT101,The Entrepreneurial Mind,3,0,TRUE,NONE
2023,COE,BSCPE,2nd Year,First Semester,RIZ101,Life and Works of Rizal,3,0,TRUE,NONE
2023,COE,BSCPE,2nd Year,First Semester,PED103,Physical Activities Toward Health and Fitness 3,2,0,TRUE,PED102
2023,COE,BSCPE,2nd Year,Second Semester,CPP123,Emerging Technologies in CpE,3,0,FALSE,2nd Year Standing
2023,COE,BSCPE,2nd Year,Second Semester,CPP105,Numerical Methods,3,0,FALSE,COE108
2023,COE,BSCPE,2nd Year,Second Semester,DCM101,Discrrete Mathematics,3,0,FALSE,COE101
2023,COE,BSCPE,2nd Year,Second Semester,CPA102,Fundamentals of Electronics Circuits,3,1,FALSE,CPA101
2023,COE,BSCPE,2nd Year,Second Semester,COE110,Computer-Aided Drafting,0,1,FALSE,2nd Year Standing
2023,COE,BSCPE,2nd Year,Second Semester,CPP111,Feedback and Control Systems,3,0,FALSE,"CPP106, CPA101"
