Batch of Curriculum,Department,Program,Year Level,Semester,Course Code,Course Title,Lec,Lab,GenEd,Pre/Co-Requisite
2023,COED,BSEDF,1st Year,First Semester,MAT101,Mathematiccs in the Modern World,3,0,TRUE,NONE
2023,COED,BSEDF,1st Year,First Semester,PSY100,Understanding the Self,3,0,TRUE,NONE
2023,COED,BSEDF,1st Year,First Semester,READ100,Science and Development of Reading,3,0,TRUE,NONE
2023,COED,BSEDF,1st Year,First Semester,ITE101,Living in the IT Era,3,0,TRUE,NONE
2023,COED,BSEDF,1st Year,First Semester,SFM101,Introduksyon s Pag-aaral ng Wika,3,0,FALSE,NONE
2023,COED,BSEDF,1st Year,First Semester,SFM102,Panimulang Lingguwistika,3,0,FALSE,NONE
2023,COED,BSEDF,1st Year,First Semester,PHD101,PnCians Holistic Development,1,0,TRUE,NONE
2023,COED,BSEDF,1st Year,First Semester,PED101,PATHFit 1: Movement Competency Training MCT,2,0,TRUE,NONE
2023,COED,BSEDF,1st Year,First Semester,NSTP1,National Service Training Program 1,3,0,TRUE,NONE
2023,COED,BSEDF,1st Year,Second Semester,GAD101,Gender and Development,3,0,TRUE,NONE
2023,COED,BSEDF,1st Year,Second Semester,HIS101,Readings in Philippine History,3,0,TRUE,NONE
2023,COED,BSEDF,1st Year,Second Semester,HMN101,Art Appreciation,3,0,TRUE,NONE
2023,COED,BSEDF,1st Year,Second Semester,COM101,Purposive Communication,3,0,TRUE,NONE
2023,COED,BSEDF,1st Year,Second Semester,CED101,"The Child and Adolescent Learners and
Learning Principles",3,0,FALSE,NONE
2023,COED,BSEDF,1st Year,Second Semester,CED103,"The Teacher and the Community, School and
Organizational Leaders",3,0,FALSE,NONE
2023,COED,BSEDF,1st Year,Second Semester,SFM103,Ang Filipino sa Kurikulum ng Batayang Edukasyon,3,0,FALSE,NONE
2023,COED,BSEDF,1st Year,Second Semester,PHD102,PnCians Holistic Development,1,0,TRUE,NONE
2023,COED,BSEDF,1st Year,Second Semester,PED102,PATHFit 2: Exercise-Based Fitness Activities,2,0,TRUE,PED101
2023,COED,BSEDF,1st Year,Second Semester,NSTP2,National Service Training Program 2,3,0,TRUE,NSTP1
2023,COED,BSEDF,2nd Year,First Semester,STS101,"Science, Technology and Society",3,0,TRUE,NONE
2023,COED,BSEDF,2nd Year,First Semester,SOC101,The Contemporary World,3,0,TRUE,NONE
2023,COED,BSEDF,2nd Year,First Semester,RIZ101,Life and World of Rizal,3,0,TRUE,NONE
2023,COED,BSEDF,2nd Year,First Semester,ENT101,The Entrepreneurial Mind,3,0,TRUE,NONE
2023,COED,BSEDF,2nd Year,First Semester,ETH101,Ethics,3,0,TRUE,NONE
2023,COED,BSEDF,2nd Year,First Semester,ENV101,Environmental Science,3,0,TRUE,NONE
2023,COED,BSEDF,2nd Year,First Semester,CED105,Facilitating  Learner-Centered Teaching,3,0,FALSE,NONE
2023,COED,BSEDF,2nd Year,First Semester,CED106,Assessment in Learning 1,3,0,FALSE,NONE
2023,COED,BSEDF,2nd Year,First Semester,PED103,"PATHFit 3: Choice of Dance, Sports, Martial Arts, 
Group Exercise, Outdoor and Adventure Activities",2,0,TRUE,PED102
2023,COED,BSEDF,2nd Year,Second Semester,SFM104,Estruktura ng Wikang Filipino,3,0,FALSE,NONE
2023,COED,BSEDF,2nd Year,Second Semester,SFM106,"Ugnayan ng Wika, Kultura, at Lipunan",3,0,FALSE,NONE
2023,COED,BSEDF,2nd Year,Second Semester,SFM108,Introduksyon sa Pagsasalin,3,0,FALSE,NONE
2023,COED,BSEDF,2nd Year,Second Semester,SFM109,Introduksyon sa Pamamahayag,3,0,FALSE,NONE
